Name,Cost,Mission/DilemmaType,Text
Chula: Echoes,1,D,"Randomly select three personnel. If the highest Cunning among those personnel is even, all three of them are stopped."
Chula: Pick One to Save Two,2,D,Randomly select three personnel. Choose to return one of those personnel to its owner's hand or to have all three of them be stopped.
Command Decisions,1,S,"Choose a personnel who has Leadership or Officer to be stopped. If you cannot, randomly select a personnel to be killed."
Console Overload,1,S,"Unless you have 2 Engineer or 2 Programming, choose a personnel who has Medical or Science to be stopped, then this dilemma returns to its owner's dilemma pile."
Contamination,2,D,"Unless you have Engineer and Physics or 2 Exobiology, all your Medical personnel are stopped and this dilemma returns to its owner's dilemma pile."
Damaged Reputation,3,P,"If you have Integrity>50, lose 5 points. Also, unless you have 2 Diplomacy or Intelligence and 2 Treachery or Strength>30, all your personnel are stopped and this dilemma returns to its owner's dilemma pile."
Dangerous Liaisons,4,D,"Unless you have 2 Science and 2 Security or 3 Treachery, all your personnel are stopped and this dilemma returns to its owner's dilemma pile."
Debris Field,1,S,"Unless you have Astrometrics or Navigation, all your Engineer personnel are stopped and this dilemma returns to its owner's dilemma pile."
Drumhead,3,S,"Unless you have Law, randomly select a personnel who has Integrity<4 to be placed in its owner's discard pile. If you cannot, all your personnel are stopped and this dilemma returns to its owner's dilemma pile."
Enemy Boarding Party,4,S,Randomly select three personnel. Each of those personnel who has Strength<6 is killed.
Equipment Malfunction,1,D,Return all your equipment to their owner's hands.
Explosive Decompression,4,S,"Randomly select a personnel to be killed. If you still have nine personnel remaining, randomly select a second personnel to be killed. If you still have ten personnel remaining, randomly select a third personnel to be killed."
Gravimetric Distortion,3,S,"Unless you have 2 Astrometrics or 3 Engineer or a personnel who has 2 Navigation, all your personnel are stopped and this dilemma is placed on your ship. Damage - This ship is attributes -2."
Graviton Ellipse,3,S,"Unless you have Astrometrics, Engineer, and Physics or Shields + unused Range this turn>13, all your personnel are stopped and this dilemma is placed on your ship. Damage - This ship is attributes -2."
Hunter Gangs,2,P,Randomly select two personnel. Each of those personnel who has Cunning+Strength<11 is killed.
Impressive Trophies,4,D,"Unless you have Cunning>32, your personnel who has the highest cost is placed in your opponent's brig, then all your other personnel are stopped."
Invidium Leak,1,S,"Unless you have Engineer and 2 Programming or 2 Medical, all your personnel are stopped."
Kelvan Show of Force,5,D,Your opponent chooses two personnel (except an Android or a Hologram). Randomly select one of those personnel to be killed.
Kolaran Raiders,1,P,"Choose a personnel who has Leadership or Security to be stopped. If you cannot, randomly select a personnel to be killed."
Limited Welcome,2,D,"Randomly select nine personnel. All your other personnel are stopped. Place this dilemma on this mission. When you attempt this mission again, after your opponent draws dilemmas, he or she may take this dilemma and add it to those drawn."
Maglock,3,S,"Unless you have 3 Officer or 3 Programming, all your personnel are stopped and this dilemma returns to its owner's dilemma pile."
Magnetic Field Disruptions,1,S,"Choose a personnel who has Astrometrics or Navigation to be stopped. If you cannot, randomly select a personnel to be killed."
Microbrain,3,D,"Unless you have a personnel who has 2 Exobiology or a personnel who has 2 Geology, your opponent chooses an Exobiology or Geology personnel to be stopped. If your opponent cannot, all your personnel are stopped and this dilemma returns to its owner's dilemma pile."
Misguided Activist,3,D,"Randomly select a [Cmd] personnel to be stopped. Unless you have Diplomacy and 2 Honor or 2 Security or {Miles O'Brien}, that personnel is killed instead."
Nanite Attack,3,S,"Unless you have 2 Diplomacy and 2 Engineer or 2 Security and a Hand Weapon, this dilemma is placed on your ship. Damage - At the end of each of your turns, randomly select a personnel aboard this ship to be killed."
None Shall Pass,3,P,"Unless you have 2 Anthropology or 3 Diplomacy or Strength>35, all your personnel are stopped and this dilemma returns to its owner's dilemma pile."
Ornaran Threat,4,D,"Randomly select a personnel to be stopped. Unless you have Diplomacy and Medical or 2 Security, that personnel is killed instead, then all your other personnel are stopped and this dilemma returns to its owner's dilemma pile."
Personal Duty,2,S,"Unless you have Leadership or Officer, all your personnel are stopped. If you have two or more personnel who have Leadership or Officer, randomly select all but one of those personnel to be stopped."
Pinned Down,2,D,"Randomly select a personnel to be stopped. If you still have nine personnel remaining, randomly select a second personnel to be stopped. If you still have ten personnel remaining, randomly select a third personnel to be stopped."
Planetary Survey,2,P,"Choose a personnel who has Geology or Programming to be stopped. If you cannot, all your personnel are stopped and this dilemma returns to its owner's dilemma pile."
Primitive Culture,3,P,"Unless you have Anthropology and Leadership or 3 Diplomacy or 2 Intelligence or four personnel who each have Strength>6, all your personnel are stopped and this dilemma returns to its owner's dilemma pile."
Pursuit Just Behind,4,P,"Randomly select a personnel to be killed. If you still have nine personnel remaining, randomly select a second personnel to be killed. If you still have ten personnel remaining, randomly select a third personnel to be killed."
Quarren Labor Shortage,2,D,"Unless at least half your personnel are not [NA], all your personnel are stopped and this dilemma returns to its owner's dilemma pile."
Recurring Injury,3,D,"Unless you have a personnel who has 2 Biology or a personnel who has 2 Medical, your opponent chooses an Biology or Medical personnel to be stopped. If your opponent cannot, all your personnel are stopped and this dilemma returns to its owner's dilemma pile."
Skullduggery,4,D,"Randomly select a personnel. If that personnel has Acquisition or Treachery, he or she is stopped. Otherwise, he or she is killed."
Stellar Core Fragment,3,D,"Unless you have a personnel who has 2 Physics or a personnel who has 2 Science, your opponent chooses an Physics or Science personnel to be stopped. If your opponent cannot, all your personnel are stopped and this dilemma returns to its owner's dilemma pile."
Sympathetic Magic,3,P,"Unless you choose to place this dilemma on your ship at this mission, all your personnel are stopped. Damage - This ship is attributes-2."
Systems Diagnostic,2,S,"Choose a personnel who has Engineer or Programming to be stopped. If you cannot, all your personnel are stopped and this dilemma returns to its owner's dilemma pile."
Temptation,3,D,Randomly select three personnel. Each of those personnel that does not have Honor or Treachery is stopped.
Tense Negotiations,3,D,"Unless you have a personnel who has 2 Diplomacy or a personnel who has 2 Leadership, your opponent chooses an Diplomacy or Leadership personnel to be stopped. If your opponent cannot, all your personnel are stopped and this dilemma returns to its owner's dilemma pile."
Trabe Grenade,1,P,"Randomly select a personnel who has Leadership or Security. If that personnel has Cunning<7, he or she is killed."
Triage,1,P,"Choose a personnel who has Biology or Medical to be stopped. If you cannot, randomly select a personnel to be killed."
Unscientific Method,3,D,"The most Cunning Science personnel who does not have Treachery is killed. Unless you have Cunning>24 remaining, all your personnel are stopped and this dilemma returns to its owner's dilemma pile."
Vastly Outnumbered,3,S,"If you have Strength>55, lose 5 points. Also, unless you have Anthropology and 2 Honor or two Hand Weapons or Integrity>28, all your personnel are stopped and this dilemma returns to its owner's dilemma pile."
Wavefront,2,S,"Unless you have a personnel who has 2 Astrometrics or a personnel who has 2 Navigation, your opponent chooses an Astrometrics or Navigation personnel to be stopped. If your opponent cannot, all your personnel are stopped and this dilemma returns to its owner's dilemma pile."
A Klingon Matter,3,P,"Unless you have 2 Intelligence and Treachery or 2 Leadership and Cunning>32, randomly select a personnel. If that personnel has Strength<7, he or she is killed, then all your other personnel are stopped and this dilemma returns to its owner's dilemma pile."
Casualties of War,4,P,"Randomly select three personnel. If the total cost of those personnel is 4 or less, they are killed. Otherwise, randomly select one of those personnel to be killed."
Crippling Attack,3,S,"Unless you have 2 Leadership and Officer or 2 Navigation and Shields>6, randomly select a personnel to be killed, then this dilemma is placed on your ship. Damage - This ship is attributes -2."
Dedication to Duty,3,S,"Randomly select a personnel. Unless you choose to kill that personnel, your opponent draws a number of cards equal to the number of [SD] icons on that personnel."
Disgraceful Assault,3,S,"Unless you have 2 Security and Transporters, randomly select a personnel to be stopped. Unless you have Biology and 2 Medical, that personnel is killed instead, then all your personnel are stopped."
Disruptor Accident,3,S,"Randomly select a personnel. Unless you choose to kill that personnel, he or she and a second randomly selected personnel are stopped."
DNA Security Scan,4,D,"Unless you have Engineer and 2 Programming or 2 Security and Cunning>36, all your personnel are stopped and this dilemma returns to its owner's dilemma pile."
Exposed Power Relay,3,D,"Randomly select a personnel to be stopped. If you still have nine personnel remaining, that personnel is killed instead, then randomly select a second personnel to be killed. If you still have ten personnel remaining, your opponent chooses a third personnel to be killed."
Face to Face,4,S,Your opponent names a skill. Randomly select two personnel. Each of those personnel that has that skill is killed.
Flim-Flam Artist,3,P,"Unless you have Diplomacy and 2 Programming or Law and Cunning>32, all your personnel are stopped, your opponent may draw a card, and this dilemma is returned to its owner's dilemma pile."
Head to Head,4,P,Your opponent names a skill. Randomly select two personnel. Each of those personnel that has that skill is killed.
Hired Muscle,2,D,"Unless you have 2 Acquisition or choose to discard three cards from hand, your opponent chooses a [NA] personnel to be placed on top of his owner's deck."
Houdini Mines,4,P,"Unless you have 2 Engineer and 2 Science or 2 Programming and 3 Security, randomly select a personnel to be killed, then this dilemma returns to its owner's dilemma pile."
Meaningless Words,3,D,"Unless you choose to discard the top three cards of your deck, your opponent chooses a personnel to be stopped."
Memory Invasion,2,D,"Your opponent examines your hand and chooses a card. Unless you choose to discard that card, randomly select three personnel to be stopped."
Nausicaan Pirates,3,S,"Unless you have Leadership and 2 Security or 2 Treachery and Strength>35, randomly select a personnel to be killed, then all your other personnel are stopped."
Picking Up the Pieces,2,P,"Unless you have Geology or Programming, all your personnel are stopped. If you have two or more personnel who have Geology or Programming, randomly select all but one of those personnel to be stopped."
Plasma Shock,4,D,"Randomly select a personnel. If that personnel has Strength>6, he or she is stopped. Otherwise, he or she is killed."
Quaint Technology,3,P,"Unless you have 2 Anthropology and Programming or 2 Diplomacy and Cunning>34, all your personnel are stopped and this dilemma returns to its owner's dilemma pile."
Racial Tension,0,D,"Randomly select two personnel. Unless they are the same species, both are stopped."
Sorting Things Out,0,D,"If a personnel has been killed during this mission attempt, randomly select a personnel to be stopped."
Stolen Computer Core,2,S,"Unless you have Intelligence and Transporters or 2 Security and Cunning>34, all your personnel are stopped and this dilemma is placed on your ship. Damage - While a Programming personnel is aboard this ship, his or her owners must discard a card from hand to use that programming."
Subspace Accident,2,S,"Unless you have Astrometrics and 2 Navigation or 2 Physics and Science, randomly select a personnel to be placed on the bottom of his or her owner's deck."
Telepathic Deception,4,D,"Unless you have Biology, Exobiology, and Security or Telepathy and Cunning>28, all your personnel are stopped and this dilemma returns to its owner's dilemma pile."
Timescape,0,D,"Place this dilemma on this mission. You cannot begin a mission attempt at this mission. At the end of this turn, this dilemma returns to its owner's dilemma pile."
Training Accident,4,S,"Randomly select three personnel. If the total cost of those personnel is 4 or less, they are killed. Otherwise, randomly select one of those personnel to be killed."
Traitor Exposed,3,D,"Randomly select a Treachery personnel. If that personnel has Cunning>6, he or she is stopped. Otherwise, he or she is killed."
Unexpected,3,D,"Randomly select a personnel to be stopped. Unless you have Astrometrics and 2 Diplomacy or Exobiology and 2 Medical, place that personnel on top of his or her owner's deck instead."
A Bad End,0,P,Randomly select one of your stopped personnel on this planet to be killed.
An Old Debt,3,D,"Unless you have Biology, Physics, and Cunning>32 or Intelligence and 2 Medical, randomly select a Leadership personnel to be killed."
Close Call,2,P,"Unless you have 2 Diplomacy and Security or 2 Programming and Transporters, randomly select an Engineer to be killed."
Confined to Quarters,2,S,"Randomly select three personnel. If any of those personnel has Leadership, all three are stopped. Otherwise, choose one of those personnel to be stopped."
Dangerous Climb,4,P,"Unless you have 2 Geology or Strength>40, randomly select a personnel to be killed, then all your other personnel are stopped and this dilemma returns to its owner's dilemma pile."
Depression,3,D,"Unless you have 2 Anthropology or 2 Medical or Telepathy and Integrity>32, your opponent chooses a personnel to be stopped and this dilemma is returned to its owner's dilemma pile."
DNA Analysis,3,D,"Unless you have a personnel who has 2 Medical or a personnel who has 2 Science, your opponent chooses a Medical or Science personnel to be stopped. If your opponent cannot, all your personnel are stopped and this dilemma returns to its owner's dilemma pile."
Dressing Down,2,D,"Randomly select three personnel. If the cost of any of those personnel is 1, all three are stopped. Otherwise, choose one of those personnel to be stopped."
Failure To Communicate,2,P,"Unless you have a personnel who has 2 Anthropology or a personnel who has 2 Security, your opponent chooses a Anthropology or Security personnel to be stopped. If your opponent cannot, all your personnel are stopped and this dilemma returns to its owner's dilemma pile."
Forsaken,6,D,"Unless you have 2 Honor or 2 Treachery, all your personnel are stopped. Each Honor or Treachery personnel that uses his or her skills while facing this dilemma is placed on the bottom of his or her owner's deck."
Gomtuu Shock Wave,3,S,"Unless you have 2 Diplomacy and Integrity>32 or Telepathy and Integrity>35, all your personnel are stopped and this dilemma is placed on your ship. Damage - This ship is attributes-2."
Graviton Wave,2,S,"Unless you have Astrometrics, Physics, and Cunning>32 or Biology and 2 Medical, randomly select a Science personnel to be killed."
History Repeats Itself,2,P,"Randomly select three personnel. If any of those personnel has Anthropology, all three are stopped. Otherwise, choose one of those personnel to be stopped."
Inside Collaborators,3,D,"Unless you have a personnel who has 2 Diplomacy or a personnel who has 2 Treachery, your opponent chooses a Diplomacy or Treachery personnel to be stopped. If your opponent cannot, all your personnel are stopped and this dilemma returns to its owner's dilemma pile."
Justice or Vengeance,3,D,"Unless you have Anthropology and 2 Security or Exobiology, Honor, and Integrity>32, randomly select a Treachery personnel to be killed."
Miner Disagreement,2,P,"Unless you have Anthropology, Diplomacy, and Cunning>32 or 2 Exobiology and Leadership, randomly select a personnel to be stopped, then this dilemma returns to its owner's dilemma pile."
Murder Investigation,3,D,"Randomly select three personnel. If any of those personnel has Security, all three are stopped. Otherwise, randomly select one of those personnel to be stopped."
Overwhelmed,4,D,"Place this dilemma on this mission. When a personnel facing a dilemma at this mission uses his or her skills, he or she is stopped. At the end of this turn, return this dilemma to its owner's dilemma pile."
Psychic Receptacle,2,D,"Your opponent names a skill. Randomly select a personnel who has that skill. While a personnel who has that same card title is facing a dilemma, he or she cannot use his or her skills. This effect lasts until the end of this mission attempt."
Psycho-Kinetic Attack,3,D,"Unless you have Exobiology and 2 Medical or Honor and Telepathy, randomly select a Security personnel to be killed."
Quantum Filament,3,S,"Unless you have 2 Astrometrics and 2 Navigation or 2 Engineer, Science, and Shields>8, this dilemma is placed on your ship. Damage - When your personnel aboard this ship are about to face a dilemma, randomly select one of them to be stopped."
Restricted Area,3,D,"Randomly select a personnel to be stopped. If you still have nine personnel remaining, that personnel is placed in your opponent's brig instead, then randomly select a second personnel to be placed in your opponent's brig. If you still have ten personnel remaining, randomly select a third personnel to be placed in your opponent's brig."
Rock People,3,P,"Unless you have 2 Anthropology and Integrity>30 or Exobiology, Medical, and Cunning>35, randomly select a personnel to be killed, then all your other personnel are stopped."
Rogue Borg Ambush,3,P,"Unless you have Intelligence and Cunning>35 or a Hand Weapon and Strength>35, randomly select a personnel to be killed, then all your other personnel are stopped."
Secret Identity,0,D,Your opponent chooses a personnel. You may replace him or her with any one personnel of the same affiliation from your deck. Place the personnel your opponent chose in his or her owner's discard pile. Shuffle and replace your deck.
Sheer Lunacy,2,S,"Unless you have 2 Anthropology and Cunning>32 or 2 Programming and Science, randomly select a personnel to be stopped, then this dilemma returns to its owner's dilemma pile."
Skeleton Crew,0,D,"Place this dilemma on this mission. To begin a mission attempt at this mission, you must have at least six personnel involved. When you complete this mission, this dilemma is overcome."
So Many Enemies,3,D,"Randomly select three personnel. If any of those personnel has Treachery, all three are stopped. Otherwise, randomly select one of those personnel to be stopped."
"Sokath, His Eyes Uncovered!",3,D,"Unless you have 2 Diplomacy or Cunning>35, all your personnel are stopped and this dilemma returns to its owner's dilemma pile."
The Demands of Duty,4,P,"Your opponent chooses a personnel. Unless you choose to have all your personnel be stopped, that personnel is killed."
A Devil Scorned,2,P,"Unless you have 2 Diplomacy, 2 Treachery, and Cunning>42 or 2 Engineer, Navigation, and 2 Physics, randomly select a Leadership personnel to be stopped, then this dilemma returns to its owner's dilemma pile."
A Pleasant Surprise,2,S,Randomly select a Diplomacy or Treachery personnel to be stopped.
A Royal Hunt,0,D,"For each of your headquarters missions, randomly select a personnel to be stopped. If you still have nine personnel remaining, randomly select another personnel to be stopped. This dilemma returns to its owner's dilemma pile."
Alluring Spy,2,S,"Unless you have Diplomacy, 2 Exobiology, and Strength>42 or Intelligence, 2 Leadership, and Cunning>38, randomly select a Security personnel to be stopped, then this dilemma returns to its owner's dilemma pile."
Back Room Dealings,2,D,"Choose a personnel who has Treachery or Integrity<4 to be stopped. If you cannot, randomly select a personnel to be killed."
Biochemical Hyperacceleration,3,P,"Randomly select three personnel. They cannot use their skills while facing this dilemma. Unless you have Biology, Geology, and Medical or 2 Security and Strength>38, those personnel are returned to their owner's hand."
Bleeding to Death,3,P,"Unless you have Biology and 2 Medical or 2 Honor and Integrity>30, randomly select a personnel to be killed, then place this dilemma in your core. At the start of each of your turns, place the top card of your deck on this dilemma. When you complete a mission, all your cards here are shuffled and placed on top of your deck, then this dilemma is removed from the game."
Broken Captive,2,D,"Your opponent chooses one of his or her captives. Unless you have the skills on that captive, all your personnel are stopped."
Cave-In,1,P,"Unless you have 2 Engineer and Transporters or Geology, Officer, and Strength>35, randomly select two personnel to return to their owner's hand."
Counterinsurgency Program,2,D,"Your opponent discards any number of event or equipment cards from hand and names a skill (except Acquisition, Intelligence, Law or Telepathy) for each one. Unless you have those skills, all your personnel are stopped."
Dealing With Pressure,3,D,"Randomly select three personnel. Unless one of those personnel has an attribute>6, all three are stopped."
Echo Papa Stasis Field,2,P,Randomly select an Officer or Security personnel to be stopped.
Formal Hearing,7,D,"For each event your opponent commands in his or her core, this dilemma is cost -1. Unless you have Diplomacy, Intelligence, 2 Programming and Cunning>38 or 2 Honor, Law, and 2 Officer, randomly select three personnel to be stopped."
Harsh Conditions,3,P,"For each headquarters mission you command, your opponent names a skill. Place this dilemma on this mission. While your personnel is facing a dilemma, he or she cannot use those skills. At the end of this mission attempt, this dilemma is overcome."
In the Way,1,P,"Randomly select a personnel. If that personnel has a skill listed in this mission's requirements (or any alternate requirements listed in the game text you are using to attempt it), he or she is stopped."
In Training,2,P,Randomly select a personnel who costs 1 or 2. All other personnel who cost 1 or 2 are stopped.
Lack of Preparation,2,D,"Unless you have the skills needed to complete this mission, this dilemma and all remaining dilemmas you have not yet faced return to their owner's dilemma pile."
Language Barrier,2,D,"Unless you have Anthropology and Leadership or 2 Diplomacy and Integrity>30, randomly stop two personnel for each headquarters mission you command."
On Foreign Ground,1,P,"Unless you command an event in your core, your opponent chooses a personnel to be killed for each headquarters mission you command. If you have at least one card in your hand, you may discard your hand to prevent this."
Renegade Ambush,2,P,"If your opponent commands a Jem'Hadar, randomly select a personnel to be killed. Otherwise, choose a personnel to be killed."
Short Circuit,3,S,"Unless you have Engineer and 2 Physics or 2 Programming and Science, all of your personnel are stopped and this dilemma returns to its owner's dilemma pile."
Side by Side,2,D,Your opponent names a skill. Randomly select two personnel. Each of those personnel that has that skill is stopped.
Talosian Trial,0,P,Your opponent takes one of his or her planet dilemmas that is overcome beneath one of your missions and places it face down on top of his or her stack of chosen dilemmas.
Test of Wisdom,3,P,"Unless you have Anthropology, 2 Archaeology, and Integrity>38 or 2 Honor and 2 Officer, all your Treachery personnel are stopped."
The Dreamer and the Dream,2,D,"Place this dilemma on this mission. At the end of this turn, this dilemma is overcome. If at that time this mission has not been completed, its owner discards his or her hand."
Tsiolkovsky Infection,8,S,"For each event your opponent commands in his or her core, this dilemma is cost -1. Unless you have 2 Anthropology, 2 Programming, and Cunning>38 or 2 Biology, Exobiology, and 2 Medical, randomly select three personnel to be killed."
Ungracious Hosts,2,P,Choose a personnel. Your opponent may discard cards from hand equal to the number of [SD] icons on that personnel to place him or her in your opponent's brig.
Whisper in the Dark,8,P,"For each event your opponent commands in his or her core, this dilemma is cost -1. Unless you have 2 Geology, 2 Physics, and Cunning>38 or 2 Honor, 2 Officer, and Transporters, randomly select three personnel to be killed."
Your Moment is Fading,2,P,"Randomly select a personnel. Unless that personnel has an attribute>6, he or she is stopped. If that personnel also has an attribute<5, he or she is killed instead of being stopped."
Temporal Misalignment,2,P,Randomly select X personnel to be stopped.
The Clown: Bitter Medicine,4,D,"Place this dilemma on this mission. Your opponent names a skill. Each of your personnel who has that skill is attributes-2. At the end of this turn, this dilemma returns to its owner's dilemma pile."
Tragic Turn,3,D,"Place this dilemma on this mission (limit one per mission). When a dilemma is overcome here, if that dilemma killed any of your personnel, randomly select a personnel attempting the mission to be killed. Otherwise, if that dilemma stopped any of your personnel, randomly select a personnel attempting the mission to be stopped."
Aftermath,3,D,"Randomly select three personnel. If the total cost of those personnel is 4 or less, they are killed. Otherwise, randomly select one of those personnel to be stopped."
Dignitaries and Witnesses,4,D,"Unless you have an Admiral or a General or 3 Leadership, all your personnel are stopped and this dilemma returns to its owner's dilemma pile."
Eye to Eye,4,D,Your opponent names a number. Randomly select two personnel. Each of those personnel that has an attribute matching that number is stopped.
Final Adventure,3,D,"Your opponent names a number. For each of your headquarters missions, randomly select a personnel who has a cost equal to that number to be killed and this dilemma returns to its owner's dilemma pile."
Full Security Alert,3,D,"Randomly select a Security personnel to be stopped. If that personnel costs 2 or less, randomly select two other Security personnel to be stopped."
Hard Time,3,P,"Place this dilemma in your core. Randomly select a personnel and place him or her on this dilemma. At the start of your next turn, remove this dilemma from the game and return the personnel on it to his or her owner's hand."
Helpless,2,P,"Randomly select a personnel. Unless he or she has at least one skill listed in this mission requirements, stop that personnel, then randomly select another personnel to be stopped."
Mr. Tricorder,3,P,"Your opponent chooses a personnel. Unless you choose to place him or her aboard your ship at this mission, randomly select two personnel to be stopped."
Shipboard Fire,1,S,"Unless there are no damage markers on this ship, all your personnel are stopped."
The Three Vipers,3,S,"Unless you have Engineer and 2 Navigation or Astrometrics, Officer, and Science, all your personnel are stopped and this dilemma is placed on your ship. Damage - At the start of each of your turns, discard a card from hand."
Unknown Microorganism,3,P,"Unless you have Biology, Medical, and Science or 2 Security and a non-Hand Weapon equipment, randomly select a personnel to be killed, all of your other personnel are stopped, and this dilemma returns to its owner's dilemma pile."
Urgency,0,D,"Place this dilemma on this mission. Each personnel may use no more than one skill during each dilemma he or she faces. Each personnel may use no more than one skill to meet a mission's requirements. At the end of this turn, this dilemma returns to its owner's dilemma pile."
Worn-Out Welcome,3,D,"Randomly select a personnel to be stopped. Unless you have Anthropology and 2 Diplomacy or Transporters and 3 Treachery, place that personnel on one of your headquarters missions."
Bynars' Password,3,D,"Unless you have a personnel who has 2 Engineer or a personnel who has 2 Programming, your opponent chooses an Engineer or Programming personnel to be stopped. If your opponent cannot, all your personnel are stopped and this dilemma returns to its owner's dilemma pile."
Captain's Holiday,3,P,"Unless you have 2 Archaeology or 2 Geology, all your personnel are stopped and this dilemma returns to its owner's dilemma pile."
The Moon's a Window to Heaven,5,P,"Unless you have a Leadership personnel who has Cunning>6 or Telepathy, randomly select a personnel to be placed in your opponent's brig, then all your other personnel are stopped."
Don't Let It End This Way,0,S,Randomly select one of your stopped personnel on this ship to be killed.
B'omar Stipulations,2,S,"Unless you have Diplomacy and Cunning>30 or Leadership and Strength>30, all of your personnel are stopped and this dilemma returns to its owner's dilemma pile."
Guess Who's Coming to Dinner?,2,D,"Choose a personnel who has Diplomacy or Integrity>6 to be stopped. If you cannot, randomly select a personnel to be killed."
Where No One Has Gone Before,4,S,"Unless you have Astrometrics, Navigation, Physics, and Cunning>34 or Exobiology, Leadership, Medical, and Integrity>32, place this dilemma in your core and place your ship on this dilemma. At the end of your next turn, remove this dilemma from the game and place the ship at your headquarters mission."
Coordinated Effort,1,D,"Unless you have twelve different skills, all your personnel are stopped and this dilemma returns to its owner's dilemma pile."
Heart to Heart,0,D,"Randomly select two personnel. If they share one or more of the same skills, both are stopped."
Entanglement,1,D,Your opponent may spend three extra in total cost on dilemmas during this mission attempt.
Psych Test,4,D,Your opponent chooses two personnel. Randomly select one of those personnel to be stopped.
Code of Honor,3,P,"Randomly select two personnel. They cannot use their skills while facing this dilemma. Unless you have Anthropology, Diplomacy, and Honor or Law, Security, and Strength>35, all your personnel are stopped."
Meaningless Modifications,2,S,"Unless you have 3 Engineer and Leadership or a personnel who has Cunning>6, all your personnel are stopped and this dilemma returns to its owner's dilemma pile."
Molecular Reversion Field,3,S,"Unless you have two personnel who each have Integrity>5, Cunning>5, and Strength>5, or have two personnel who have total attributes>38, all your personnel are stopped and this dilemma is placed on your ship. Damage - You have 1 fewer counters to spend during each of your Play and Draw Cards segments."
Outmatched,1,P,"For each dilemma your opponent consumes with this dilemma, add 10 Cunning to this dilemma's requirements. Unless you have Cunning>15, all your personnel are stopped."
Small Problems,3,S,Randomly select three personnel. Each of those who is a [Cmd] personnel is stopped.
Quarrel,2,D,"Randomly select two personnel. Unless they have Integrity>11 or Cunning>11, both are stopped."
Charged-Particle Precipitation,2,P,"The personnel who has the fewest [SD] icons is stopped. If that personnel does not have at least four [SD] icons, he or she is killed instead."
Financial Pitfall,2,D,"Unless you have 3 Acquisition or Cunning>35, all your personnel are stopped and this dilemma returns to its owner's dilemma pile."
Proximity-Actuated Field,3,D,"Unless you have Biology and 2 Security or 2 Physics and Cunning>35, randomly select a personnel to be stopped and your opponent may move up to two dilemmas from beneath one of your missions to another of your non-headquarters missions."
Stay Where Thou Art,3,D,"Unless you have Cunning>40 or a personnel who has both Diplomacy and Integrity>7, randomly select three personnel. They cannot use their skills during this mission attempt."
Agonizing Encounter,5,D,"For each headquarters you command, this dilemma is cost -1. Your opponent names a skill. For each of your missions that requires that skill, randomly select a personnel to be stopped."
Assist Rescue Operation,5,D,"Unless you have Anthropology, Diplomacy, and Leadership or Officer, Treachery, and Strength>26, randomly select a personnel to be stopped, and if the opponent on your left commands {Earth}, he or she may download a [Fed] ship and its Commander that he or she does not command. If he or she does this, that ship and personnel are then placed at a mission where your opponent could play them."
Between Duty and Respect,2,D,"Unless you have Archaeology, Geology, and Science or Honor, Leadership, and Officer, randomly select a personnel to be stopped, and if the opponent on your left commands {Bajor}, he or she may take a card from his or her discard pile into hand."
Bre'Nan Ritual,3,D,"Place this dilemma on this mission. At the start of each mission attempt at this mission, randomly select a personnel to be stopped. When this mission is completed, place this dilemma beneath your incomplete non-headquarters mission."
