Name,Unique,Type,Cost,Mission/DilemmaType,Span,Points,Quadrant,Affiliation,Icons,Staff,Keywords,Class,Species,Skills,Integrity/Range,Cunning/Weapons,Strength/Shields,Text
Luaran Cautious Inspector,Y,Personnel,2,,,,,Dominion,[Cmd],,,,Vorta,Biology Engineer Physics Science Treachery,4,6,3,"When you play this personnel, if you command a Jem'Hadar, you may draw a card for each space mission you command."
O'Brien Founder Agent Provocateur,Y,Personnel,3,,,,,Dominion,[Stf],,Founder. Infiltrator. Shape-shifter.,,Changeling,Anthropology Astrometrics Engineer Intelligence Treachery,4,6,5,"When you play this personnel, you may download an Infiltration card."
Odo Founder Adept Imposter,Y,Personnel,2,,,,,Dominion,[Cmd],,Founder. Infiltrator. Shape-shifter.,,Changeling,Engineer Programming Security Treachery,3,6,8,"When you are about to place an Infiltration card in your discard pile, if this personnel is present with an opponent's personnel, you may place that Infiltration card on top of your deck instead."
Rodak'koden,N,Personnel,2,,,,,Dominion,[Stf],,,,Jem'Hadar,Honor Physics Security Transporters,6,5,8,"When you play this personnel, if you command a Vorta, you may draw two cards, then discard three cards from hand (only discard two if you command an event in your core)."
Weyoun Warship Commander,Y,Personnel,2,,,,,Dominion,[Cmd],,Commander: Tenak'talar.,,Vorta,Leadership Navigation 2 Treachery,2,6,4,"When an engagement involving your [Car] ship or [Dom] ship begins at this mission, if this personnel is aboard a ship, that ship may join that engagement."
Beverly Crusher Chief Physician,Y,Personnel,2,,,,,Federation,[Cmd][TNG],,,,Human,Biology Exobiology 2 Medical,6,6,4,"When this personnel is stopped by a dilemma, you may take a [TNG] personnel from your discard pile into hand."
Data Pinocchio,Y,Personnel,5,,,,,Federation,[Cmd][TNG],,,,Android,Astrometrics Engineer Exobiology Officer Programming,6,10,10,"When you play this personnel, name Anthropology, Navigation, or Physics. This personnel gains that skill."
Deanna Troi Ship's Counselor,Y,Personnel,2,,,,,Federation,[Stf][TNG],,,,Betazoid/Human,Anthropology Diplomacy Honor Telepathy,6,5,4,"Order - If this personnel is present with an opponent's personnel, stop this personnel to examine that opponent's hand and choose a non-ship card to place on the bottom of his or her deck."
Dorian Collins Acting Chief Petty Officer,Y,Personnel,1,,,,,Federation,[Stf][E],,Cadet.,,Human,,6,5,4,"While this personnel is facing a dilemma, she is attributes +1 and gains Anthropology, Engineer, Geology, Honor and Transporters."
Geordi La Forge Conn Officer,Y,Personnel,1,,,,,Federation,[Stf][TNG],,,,Human,Astrometrics Navigation Officer,6,6,5,"While this personnel is on a planet, he loses Astrometrics, Navigation and Officer and gains Engineer, Physics and Programming."
Guinan Listener,Y,Personnel,3,,,,,Federation,[TNG],,,,El-Aurian,Anthropology Exobiology 2 Honor,8,7,4,"When you play this personnel, each player scores 5 points."
Jadzia Dax Problem Solver,Y,Personnel,3,,,,,Federation,[Stf][DS9],,Host.,,Trill,Astrometrics Physics Programming Science,6,7,6,"When you are about to place an event in your discard pile, you may stop this personnel to place it on the bottom of your deck instead."
Jake Sisko Reporter Behind the Lines,Y,Personnel,1,,,,,Federation,[TN],,Dissident.,,Human,Anthropology Biology Honor Programming,6,5,5,"When you play this personnel, discard a card from hand. When you play another Dissident personnel, you may make each player discard the top card of his or her deck."
Kalita Maquis Pilot,Y,Personnel,2,,,,,Federation,[Cmd][Maq],,,,Human,Astrometrics Biology Navigation,5,6,5,"When you play this personnel, you may place an opponent's event on top of its owner's deck."
Karen Farris Rigorous Leader,Y,Personnel,1,,,,,Federation,[Cmd][E],,Cadet.,,Human,,5,5,5,"While this personnel is facing a dilemma, she is attributes +1 and gains Astrometrics, Engineer, Leadership, Officer, and Security."
Lenara Kahn Wormhole Theorist,Y,Personnel,2,,,,,Federation,[Stf][E],,Host.,,Trill,Astrometrics Engineer Physics Science,5,6,4,"When you play this personnel, you may examine the top four cards of your deck. You may reveal one event and take it into hand. Place the remaining cards on the bottom of your deck in any order."
Miles O'Brien Repair Chief,Y,Personnel,3,,,,,Federation,[Stf][DS9],,,,Human,2 Engineer Honor Programming Transporters,7,6,5,"When your event is about to be destroyed by an opponent, you may discard an event from hand to prevent that."
Riley Shepard Confident Cadet,Y,Personnel,1,,,,,Federation,[Stf][E],,Cadet.,,Human,,5,5,6,"While this personnel is facing a dilemma, he is attributes +1 and gains Biology, 2 Navigation, Programming and Security."
Seth Matthews Red Squad Cadet,Y,Personnel,0,,,,,Federation,[Stf][E],,Cadet.,,Human,,5,5,5,"While this personnel is facing a dilemma, he gains Exobiology and Science."
Tamal Technician,Y,Personnel,2,,,,,Federation,[Stf][Maq],,,,Human,Anthropology Engineer Science,6,6,6,"While this personnel is attempting a mission, you may discard a [Maq] Leadership personnel from hand to make a personnel present attributes +1 until the end of that mission attempt."
Tim Watters Valiant Captain,Y,Personnel,1,,,,,Federation,[Cmd][E],,Cadet. Commander: U.S.S. Valiant.,,Human,,5,5,6,"While this personnel is facing a dilemma, he is attributes +1 and gains Diplomacy, 2 Leadership, Officer and Physics."
William T. Riker First Officer,Y,Personnel,2,,,,,Federation,[Cmd][TNG],,,,Human,Anthropology Leadership Navigation Officer,6,6,6,"When this personnel is about to be stopped by a dilemma, you may unstop one of your stopped [TNG] personnel present. That personnel joins this mission attempt."
Worf Conn Officer,Y,Personnel,3,,,,,Federation,[Stf][TNG],,,,Klingon,Honor Navigation Officer Security,7,5,8,Order - Destroy your event to exchange a dilemma beneath your mission with the top card of its owner's dilemma pile.
B'Etor Ambitious Renegade,Y,Personnel,3,,,,,Klingon,[Cmd],,,,Klingon,Astrometrics Leadership Programming Science 2 Treachery,2,6,6,"When you play this personnel, reveal cards from the top of your deck equal to the cost of an event in your core. Take each Treachery personnel revealed into your hand. Replace the remaining cards in the same order."
Jadzia Dax Sworn Ally,Y,Personnel,3,,,,,Klingon,[Stf],,Host.,,Trill,Anthropology Diplomacy Physics Science,6,7,6,"While this personnel is present with an Honor Klingon, she is attributes +1 and gains Honor."
K'Tal Senior Council Member,Y,Personnel,2,,,,,Klingon,,,High Council Member.,,Klingon,Anthropology Diplomacy Law,6,4,6,"When you play a Chancellor or High Council Member at this mission, you may download an event."
Lursa Ambitious Renegade,Y,Personnel,2,,,,,Klingon,[Cmd],,,,Klingon,Engineer Leadership Navigation 2 Treachery,2,6,7,"When you play this personnel, reveal cards from the top of your deck equal to the cost of an event in your core. Take each Assault and Maneuver card revealed into your hand. Replace the remaining cards in the same order."
William T. Riker Exchange Officer,Y,Personnel,2,,,,,Klingon,[Cmd],,,,Human,Anthropology Leadership Navigation Officer,6,6,6,"While this personnel is facing a dilemma, you may discard a card from hand to make him gain a skill from your Klingon present until the end of that mission attempt."
Aaron Conor Born Leader,Y,Personnel,3,,,,,Non-Aligned,,,Genetically Enhanced.,,Human,Diplomacy 2 Honor Leadership,8,6,6,"When you play this personnel, choose an opponent. For each headquarters mission he or she commands, this personnel is cost -1."
Crosis Fanatical Lieutenant,Y,Personnel,2,,,,,Non-Aligned,[Cmd],,,,Borg,Exobiology Officer Programming Security Treachery,3,6,6,"For each event you command beyond the number of events an opponent of your choice commands, this personnel is attributes +1 (limit +6)."
Data Loyal Brother,Y,Personnel,1,,,,,Non-Aligned,[Cmd],,,,Android,Astrometrics Biology Engineer 2 Programming Treachery,3,9,10,"At the start of each of your turns, you must discard an event from hand or stop this personnel."
Goval Follower of the One,Y,Personnel,1,,,,,Non-Aligned,[Stf],,,,Borg,Archaeology Geology Science,4,5,5,"While this personnel is attempting a mission, you may discard an equipment or event card from hand to make him attributes +2 until end of this mission attempt."
Hannah Bates Biosphere Expert,Y,Personnel,2,,,,,Non-Aligned,,,Genetically Enhanced.,,Human,Engineer Physics Programming Science,4,7,5,
Lore The One,Y,Personnel,6,,,,,Non-Aligned,[Cmd],,,,Android,Diplomacy Engineer Leadership Programming Security 2 Treachery,1,10,10,"While this personnel is facing a dilemma, he cannot be stopped."
Martin Benbeck Strict Interpreter,Y,Personnel,3,,,,,Non-Aligned,,,Genetically Enhanced.,,Human,Anthropology Honor Law Security,7,6,6,"When you play this personnel, choose an opponent. You may draw a card for each headquarters mission he or she commands."
Morik,N,Personnel,2,,,,,Non-Aligned,[Stf],,,,Borg,Anthropology Engineer Medical Transporters,4,5,5,The cost of the event in your core that has the highest cost is added to this personnel's attributes.
Reide,N,Personnel,1,,,,,Non-Aligned,[Stf][Maq],,,,Human,Diplomacy Exobiology Physics,4,5,6,Order - Discard two [Maq] cards from hand to place two random cards from an opponent's hand on top of his or her deck. You may do this only once each turn.
B'Etor Romulan Conspirator,Y,Personnel,2,,,,,Romulan,[Cmd],,,,Klingon,Diplomacy Physics Programming Science 2 Treachery,2,6,6,"When this personnel is about to be stopped by a dilemma, you may unstop a stopped [Rom] personnel present. That personnel joins this mission attempt."
Bochra Loyal Centurion,Y,Personnel,2,,,,,Romulan,[Stf],,,,Romulan,Geology Navigation Officer,6,5,6,"At the start of each of your turns, if this personnel is at an opponent's incomplete non-headquarters mission, you may spend 1 additional counter during your Play and Draw Cards segment."
Kell Romulan Accomplice,Y,Personnel,2,,,,,Romulan,,,High Council Member.,,Klingon,Diplomacy Engineer Exobiology Programming Treachery,3,5,5,"While this personnel is at a [Kli] mission, he is an Infiltrator. While this personnel is at your [Kli] mission, you may attempt it."
