Name,Unique,Cost,Affiliation,Icons,Keywords,Species,Skills,Integrity,Cunning,Strength,Text
Benjamin Sisko Shipwright,Y,4,Bajoran,[Cmd][DS9],Commander: Baraka.,Human,Anthropology Astrometrics Engineer Honor Navigation,7,6,6,"While this personnel is aboard a [Baj] ship, it is Range +1."
Borg Queen Perfectionist,Y,3,Borg,[Cmd],Commander: Queen's Borg Cube.,Borg,3 Leadership Treachery,3,8,6,"While this personnel is facing a dilemma, each personnel you command but do not own cannot be stopped."
Dukat True Cardassian,Y,3,Cardassian,[Cmd],Commander: Naprem.,Cardassian,Leadership Navigation Officer Programming Security,4,6,6,"When an engagement involving this personnel ends, the ship he is aboard and each of your [Car] personnel aboard it are not stopped. You cannot begin any other engagements this turn."
Kudak'Etan Arrogant First,Y,3,Dominion,[Cmd],Alpha. Commander: U.S.S. Defiant.,Jem'Hadar,Astrometrics Leadership Navigation Officer,5,5,8,Order - Discard a Vorta from hand to place this personnel and any number of your Jem'Hadar present aboard a ship at the same mission.
Data Commanding Officer,Y,5,Federation,[Cmd][E],Commander: U.S.S. Sutherland.,Android,Engineer Leadership Officer Physics Programming,6,10,10,"Order - Discard a card from hand to name a card. When an opponent plays that card, score 5 points. This effect lasts until the start of your next turn. You may do this only once each turn."
Jean-Luc Picard Starship Captain,Y,3,Federation,[Cmd][TNG],Commander: U.S.S. Enterprise-D.,Human,Diplomacy Honor Law Leadership Navigation Officer,8,6,6,"Order - This personnel loses Diplomacy, Law, and Navigation and gains Anthropology, Archaeology, and Science until the end of this turn. You may do this only once each turn."
Gowron Sole Leader of the Empire,Y,3,Klingon,[Cmd],Chancellor. Commander: I.K.S. Bortas.,Klingon,Honor Law 2 Leadership Security,6,5,8,"When your Honor Klingon is about to be stopped or killed by a dilemma, you may discard a Treachery Klingon from hand to prevent that. You may do this only once each turn."
Arctus Baran Treasure Seeker,Y,2,Non-Aligned,[Cmd],Commander: Fortune. Smuggler. Thief.,Alien,Archaeology Officer Security Treachery,2,5,6,"When this personnel uses a skill to complete a mission, you may download an Artifact card and place it in your core (if it is an event) or present with this personnel (if it is an equipment)."
Velal Reluctant Aggressor,Y,2,Romulan,[Cmd],Commander: Rovaran. General.,Romulan,Archaeology Leadership Officer Security,5,6,6,"When the player on your right attempts this mission, if you command a Maneuver event, you may draw an extra dilemma and spend one extra in total cost on dilemmas."
Anneli,N,1,Bajoran,[Stf][DS9],,Bajoran,Astrometrics Biology Science,5,5,5,"While you command an event in your core, this personnel is attributes +1."
Bareil Antos Opaka's Protector,Y,4,Bajoran,,Vedek.,Bajoran,Anthropology Diplomacy 2 Honor Leadership Programming,8,6,5,"Order - Stop this personnel to download a card, then place that card in your discard pile."
Day Kannu Field Colonel,Y,2,Bajoran,[Cmd][DS9],,Bajoran,Engineer Officer Security Treachery,3,5,6,"When you win combat involving this personnel, score 5 points."
Dukat Anjohl Tennan,Y,2,Bajoran,[Cmd],,Cardassian,Anthropology Archaeology Diplomacy Programming 2 Treachery,2,6,6,"While this personnel is facing a dilemma, you may remove an Anthropology or Leadership personnel in your discard pile from the game to make this personnel attributes +1 until the end of this mission attempt."
Kira Meru Comfort Woman,Y,1,Bajoran,[Pa],,Bajoran,Anthropology Exobiology Geology,5,5,5,"While this personnel is attempting a mission, you may lose 5 points to make her gain a skill on a [Baj] personnel in your discard pile until the end of that mission attempt."
Krim Thoughtful Tactician,Y,2,Bajoran,[Cmd][DS9],Commander: Talnot. General.,Bajoran,Astrometrics Honor Leadership Officer,6,6,6,"Order - Lose 5 points and stop this personnel to name a dilemma. Choose an opponent to take each copy of that dilemma from his or her dilemma pile, place them beneath your completed mission, then shuffle and replace his or her dilemma pile face down."
Kulan Militia Soldier,Y,2,Bajoran,[Stf],Bajoran Resistance.,Bajoran,Engineer Honor Navigation Transporters,6,5,5,"When you play this personnel, for each event in your discard pile, he is cost -1. While you have a Navigation personnel in your discard pile, this personnel gains Navigation."
Leeta Rebel Supporter,Y,0,Bajoran,[TN],Dabo Girl. Dissident.,Bajoran,Anthropology Honor,6,5,4,"When you play this personnel, discard a card from hand. While you have more than ten cards in your discard pile, each of your Dissident personnel present is attributes +1."
Razka Karn Scavenger,Y,2,Bajoran,[Stf],Bajoran Resistance. Smuggler. Thief.,Bajoran,Acquisition Archaeology Astrometrics Engineer Navigation,4,6,5,"While this personnel is facing a dilemma, you may discard an event from hand to replace his Integrity with the Integrity of a [Baj] personnel in your discard pile until the end of that dilemma."
Solbor Faithful Attendant,Y,3,Bajoran,,Prylar.,Bajoran,Anthropology Exobiology Honor,7,5,3,"When you complete a mission involving this personnel, if your Kai, other Prylar, or Vedek used a skill to complete it, score 5 points."
Surmak Ren Medical Administrator,Y,3,Bajoran,,Bajoran Resistance.,Bajoran,Biology Leadership Medical Programming Science,5,6,5,"When you play this personnel, each opponent discards a card from hand for each headquarters mission he or she commands."
Treyam Militia Soldier,Y,2,Bajoran,[Stf],Bajoran Resistance.,Bajoran,Archaeology Medical Physics Programming,5,5,6,"When you play this personnel, for each event in your discard pile, he is cost -1. While you have a Medical personnel in your discard pile, this personnel gains Medical."
Defragmentation Drone,N,1,Borg,[Stf],Drone.,Borg,Physics Security,5,5,5,Order - Destroy an event in your core to draw cards equal to that event's cost.
Examination Drone,N,2,Borg,[Stf],Drone.,Borg,Anthropology Archaeology Astrometrics,5,5,5,"When you play this personnel, choose an opponent. You may draw a card for each headquarters mission he or she commands."
Facilitation Drone,N,2,Borg,[Stf],Drone.,Borg,Biology Geology Medical Programming,5,5,5,"When you play this personnel, you may reveal up to three cards from the bottom of your deck. As your next action, you may play one of those cards as if it were in your hand. Those you do not play are placed in your discard pile."
Five of Twelve Secondary Adjunct of Trimatrix 942,Y,3,Borg,[Stf],Drone.,Borg,Anthropology Biology Engineer Navigation Programming,5,6,6,"When you fail a mission attempt involving this personnel, he is not stopped."
Reconnaissance Drone,N,3,Borg,[Stf],Drone.,Borg,Exobiology Navigation Security Transporters,5,5,5,"When you play this personnel, you may download a non-Drone personnel, then place that personnel on top of your deck."
Aamin Marritza Honorable Patriot,Y,2,Cardassian,[Stf],Dissident.,Cardassian,2 Honor Programming,8,6,3,"While this personnel is attempting a mission, you may discard an event from hand to make him gain a skill of your choice that he does not already have until the end of that mission attempt. You may do this only once each turn."
Broca Grovelling Lackey,Y,3,Cardassian,[Cmd],Legate.,Cardassian,Archaeology Engineer Officer Transporters Treachery,4,5,5,Order - Discard a card from hand and reveal an event from hand to download a copy of that event. You may do this only once each turn.
Hogue Student of Political Ethics,Y,1,Cardassian,[Stf],Dissident.,Cardassian,Honor Leadership Navigation,6,5,5,Order - Discard the top card of your deck to make this personnel gain Science until the end of this turn. You may do this only once each turn.
Kira Nerys Iliana Ghemor,Y,1,Cardassian,[Stf],Dissident.,Bajoran,Honor Programming Security,6,6,6,"Order - Lose 5 points and stop this personnel to download up to three [Car] Dissident personnel, then place them on a headquarters mission where they could be played."
Mila Trusted Confidante,Y,2,Cardassian,,Chef. Dissident.,Cardassian,Biology Honor Intelligence Medical,7,5,3,"When an interrupt is played, you may kill this personnel to prevent that interrupt and place it in its owner's discard pile."
Odo Impartial Investigator,Y,3,Cardassian,[Stf][Pa],Shape-shifter.,Changeling,Anthropology Exobiology Honor Law Security,6,6,8,"Order - If this personnel is at a non-headquarters mission, lose 5 points and stop him to place an opponent's non-Honor personnel present in your brig."
Rusot Proud Nationalist,Y,2,Cardassian,[Cmd],Dissident. Gul.,Cardassian,Biology Geology Officer Treachery,4,5,6,"While you command more events in your core than each of your opponents, this personnel gains Leadership and Security."
Seskal Comrade in Arms,Y,2,Cardassian,[Cmd],Dissident. Glinn.,Cardassian,Anthropology Astrometrics Officer Science,5,5,6,"While you command more events in your core than each of your opponents, this personnel cannot be stopped by dilemmas."
Toran Ambitious Brute,Y,3,Cardassian,[Cmd],Assassin. Gul.,Cardassian,Astrometrics Diplomacy Officer Physics 2 Treachery,2,5,6,Order - Discard a personnel from hand and return this personnel to his owner's hand to kill an opponent's personnel present who has a skill that discarded personnel has.
Amar'itak,N,2,Dominion,[Stf],,Jem'Hadar,Exobiology Geology Security,6,5,8,"When you play this personnel, if you command a Vorta, choose an opponent. You may draw a card for each headquarters mission he or she commands."
Founder Architect,N,2,Dominion,,Founder. Shape-shifter.,Changeling,Astrometrics Law,5,5,5,"While this personnel is attempting a mission, he is attributes +1 for each event in each player's core (limit +5)."
Leyton Founder Hostile Operative,Y,3,Dominion,[Cmd],Founder. Infiltrator. Shape-shifter.,Changeling,Biology Intelligence Leadership Officer Security Treachery,3,6,5,"When you are about to play an Infiltration event, if this personnel is at an opponent's mission, that event is cost -1."
Luaran Cautious Inspector,Y,2,Dominion,[Cmd],,Vorta,Biology Engineer Physics Science Treachery,4,6,3,"When you play this personnel, if you command a Jem'Hadar, you may draw a card for each space mission you command."
O'Brien Founder Agent Provocateur,Y,3,Dominion,[Stf],Founder. Infiltrator. Shape-shifter.,Changeling,Anthropology Astrometrics Engineer Intelligence Treachery,4,6,5,"When you play this personnel, you may download an Infiltration card."
Odo Founder Adept Imposter,Y,2,Dominion,[Cmd],Founder. Infiltrator. Shape-shifter.,Changeling,Engineer Programming Security Treachery,3,6,8,"When you are about to place an Infiltration card in your discard pile, if this personnel is present with an opponent's personnel, you may place that Infiltration card on top of your deck instead."
Rodak'koden,N,2,Dominion,[Stf],,Jem'Hadar,Honor Physics Security Transporters,6,5,8,"When you play this personnel, if you command a Vorta, you may draw two cards, then discard three cards from hand (only discard two if you command an event in your core)."
Weyoun Warship Commander,Y,2,Dominion,[Cmd],Commander: Tenak'talar.,Vorta,Leadership Navigation 2 Treachery,2,6,4,"When an engagement involving your [Car] ship or [Dom] ship begins at this mission, if this personnel is aboard a ship, that ship may join that engagement."
Beverly Crusher Chief Physician,Y,2,Federation,[Cmd][TNG],,Human,Biology Exobiology 2 Medical,6,6,4,"When this personnel is stopped by a dilemma, you may take a [TNG] personnel from your discard pile into hand."
Data Pinocchio,Y,5,Federation,[Cmd][TNG],,Android,Astrometrics Engineer Exobiology Officer Programming,6,10,10,"When you play this personnel, name Anthropology, Navigation, or Physics. This personnel gains that skill."
Deanna Troi Ship's Counselor,Y,2,Federation,[Stf][TNG],,Betazoid/Human,Anthropology Diplomacy Honor Telepathy,6,5,4,"Order - If this personnel is present with an opponent's personnel, stop this personnel to examine that opponent's hand and choose a non-ship card to place on the bottom of his or her deck."
Dorian Collins Acting Chief Petty Officer,Y,1,Federation,[Stf][E],Cadet.,Human,,6,5,4,"While this personnel is facing a dilemma, she is attributes +1 and gains Anthropology, Engineer, Geology, Honor and Transporters."
Geordi La Forge Conn Officer,Y,1,Federation,[Stf][TNG],,Human,Astrometrics Navigation Officer,6,6,5,"While this personnel is on a planet, he loses Astrometrics, Navigation and Officer and gains Engineer, Physics and Programming."
Guinan Listener,Y,3,Federation,[TNG],,El-Aurian,Anthropology Exobiology 2 Honor,8,7,4,"When you play this personnel, each player scores 5 points."
Jadzia Dax Problem Solver,Y,3,Federation,[Stf][DS9],Host.,Trill,Astrometrics Physics Programming Science,6,7,6,"When you are about to place an event in your discard pile, you may stop this personnel to place it on the bottom of your deck instead."
Jake Sisko Reporter Behind the Lines,Y,1,Federation,[TN],Dissident.,Human,Anthropology Biology Honor Programming,6,5,5,"When you play this personnel, discard a card from hand. When you play another Dissident personnel, you may make each player discard the top card of his or her deck."
Kalita Maquis Pilot,Y,2,Federation,[Cmd][Maq],,Human,Astrometrics Biology Navigation,5,6,5,"When you play this personnel, you may place an opponent's event on top of its owner's deck."
Karen Farris Rigorous Leader,Y,1,Federation,[Cmd][E],Cadet.,Human,,5,5,5,"While this personnel is facing a dilemma, she is attributes +1 and gains Astrometrics, Engineer, Leadership, Officer, and Security."
Lenara Kahn Wormhole Theorist,Y,2,Federation,[Stf][E],Host.,Trill,Astrometrics Engineer Physics Science,5,6,4,"When you play this personnel, you may examine the top four cards of your deck. You may reveal one event and take it into hand. Place the remaining cards on the bottom of your deck in any order."
Miles O'Brien Repair Chief,Y,3,Federation,[Stf][DS9],,Human,2 Engineer Honor Programming Transporters,7,6,5,"When your event is about to be destroyed by an opponent, you may discard an event from hand to prevent that."
Riley Shepard Confident Cadet,Y,1,Federation,[Stf][E],Cadet.,Human,,5,5,6,"While this personnel is facing a dilemma, he is attributes +1 and gains Biology, 2 Navigation, Programming and Security."
Seth Matthews Red Squad Cadet,Y,0,Federation,[Stf][E],Cadet.,Human,,5,5,5,"While this personnel is facing a dilemma, he gains Exobiology and Science."
Tamal Technician,Y,2,Federation,[Stf][Maq],,Human,Anthropology Engineer Science,6,6,6,"While this personnel is attempting a mission, you may discard a [Maq] Leadership personnel from hand to make a personnel present attributes +1 until the end of that mission attempt."
Tim Watters Valiant Captain,Y,1,Federation,[Cmd][E],Cadet. Commander: U.S.S. Valiant.,Human,,5,5,6,"While this personnel is facing a dilemma, he is attributes +1 and gains Diplomacy, 2 Leadership, Officer and Physics."
William T. Riker First Officer,Y,2,Federation,[Cmd][TNG],,Human,Anthropology Leadership Navigation Officer,6,6,6,"When this personnel is about to be stopped by a dilemma, you may unstop one of your stopped [TNG] personnel present. That personnel joins this mission attempt."
Worf Conn Officer,Y,3,Federation,[Stf][TNG],,Klingon,Honor Navigation Officer Security,7,5,8,Order - Destroy your event to exchange a dilemma beneath your mission with the top card of its owner's dilemma pile.
B'Etor Ambitious Renegade,Y,3,Klingon,[Cmd],,Klingon,Astrometrics Leadership Programming Science 2 Treachery,2,6,6,"When you play this personnel, reveal cards from the top of your deck equal to the cost of an event in your core. Take each Treachery personnel revealed into your hand. Replace the remaining cards in the same order."
Jadzia Dax Sworn Ally,Y,3,Klingon,[Stf],Host.,Trill,Anthropology Diplomacy Physics Science,6,7,6,"While this personnel is present with an Honor Klingon, she is attributes +1 and gains Honor."
K'Tal Senior Council Member,Y,2,Klingon,,High Council Member.,Klingon,Anthropology Diplomacy Law,6,4,6,"When you play a Chancellor or High Council Member at this mission, you may download an event."
Lursa Ambitious Renegade,Y,2,Klingon,[Cmd],,Klingon,Engineer Leadership Navigation 2 Treachery,2,6,7,"When you play this personnel, reveal cards from the top of your deck equal to the cost of an event in your core. Take each Assault and Maneuver card revealed into your hand. Replace the remaining cards in the same order."
William T. Riker Exchange Officer,Y,2,Klingon,[Cmd],,Human,Anthropology Leadership Navigation Officer,6,6,6,"While this personnel is facing a dilemma, you may discard a card from hand to make him gain a skill from your Klingon present until the end of that mission attempt."
Aaron Conor Born Leader,Y,3,Non-Aligned,,Genetically Enhanced.,Human,Diplomacy 2 Honor Leadership,8,6,6,"When you play this personnel, choose an opponent. For each headquarters mission he or she commands, this personnel is cost -1."
Crosis Fanatical Lieutenant,Y,2,Non-Aligned,[Cmd],,Borg,Exobiology Officer Programming Security Treachery,3,6,6,"For each event you command beyond the number of events an opponent of your choice commands, this personnel is attributes +1 (limit +6)."
Data Loyal Brother,Y,1,Non-Aligned,[Cmd],,Android,Astrometrics Biology Engineer 2 Programming Treachery,3,9,10,"At the start of each of your turns, you must discard an event from hand or stop this personnel."
Goval Follower of the One,Y,1,Non-Aligned,[Stf],,Borg,Archaeology Geology Science,4,5,5,"While this personnel is attempting a mission, you may discard an equipment or event card from hand to make him attributes +2 until end of this mission attempt."
Hannah Bates Biosphere Expert,Y,2,Non-Aligned,,Genetically Enhanced.,Human,Engineer Physics Programming Science,4,7,5,
Lore The One,Y,6,Non-Aligned,[Cmd],,Android,Diplomacy Engineer Leadership Programming Security 2 Treachery,1,10,10,"While this personnel is facing a dilemma, he cannot be stopped."
Martin Benbeck Strict Interpreter,Y,3,Non-Aligned,,Genetically Enhanced.,Human,Anthropology Honor Law Security,7,6,6,"When you play this personnel, choose an opponent. You may draw a card for each headquarters mission he or she commands."
Morik,N,2,Non-Aligned,[Stf],,Borg,Anthropology Engineer Medical Transporters,4,5,5,The cost of the event in your core that has the highest cost is added to this personnel's attributes.
Reide,N,1,Non-Aligned,[Stf][Maq],,Human,Diplomacy Exobiology Physics,4,5,6,Order - Discard two [Maq] cards from hand to place two random cards from an opponent's hand on top of his or her deck. You may do this only once each turn.
B'Etor Romulan Conspirator,Y,2,Romulan,[Cmd],,Klingon,Diplomacy Physics Programming Science 2 Treachery,2,6,6,"When this personnel is about to be stopped by a dilemma, you may unstop a stopped [Rom] personnel present. That personnel joins this mission attempt."
Bochra Loyal Centurion,Y,2,Romulan,[Stf],,Romulan,Geology Navigation Officer,6,5,6,"At the start of each of your turns, if this personnel is at an opponent's incomplete non-headquarters mission, you may spend 1 additional counter during your Play and Draw Cards segment."
Kell Romulan Accomplice,Y,2,Romulan,,High Council Member.,Klingon,Diplomacy Engineer Exobiology Programming Treachery,3,5,5,"While this personnel is at a [Kli] mission, he is an Infiltrator. While this personnel is at your [Kli] mission, you may attempt it."
Koval Chairman of the Tal Shiar,Y,3,Romulan,[Cmd],,Romulan,Biology Exobiology Intelligence Leadership Security Treachery,3,7,5,"While an opponent commands more headquarters missions than you, this personnel cannot be stopped by dilemmas."
Lursa Romulan Conspirator,Y,2,Romulan,[Cmd],,Klingon,Anthropology Engineer Law 2 Treachery,2,6,7,"When you other [Rom] personnel present is about to be stopped by a dilemma, this personnel may gain one of his or her skills until the end of that mission attempt. You may do this only once each turn."
Mareth,N,2,Romulan,[Stf],,Romulan,Archaeology Engineer Programming Transporters,5,6,5,"When this personnel is about to be stopped by a dilemma, you may discard an event from hand to prevent that."
Parem Special Security,Y,2,Romulan,[Stf],,Romulan,Astrometrics Physics Security Treachery,4,5,7,"While this personnel is facing a dilemma, he is attributes +1 for each other dilemma he has faced this turn."
Relam,N,2,Romulan,[Cmd],,Romulan,Astrometrics Officer Science Treachery,4,6,6,"When this personnel is about to be stopped by a dilemma, you may discard an event from hand to prevent that."
Sela Devious Schemer,Y,3,Romulan,[Cmd],,Human/Romulan,Intelligence Leadership Officer Security 2 Treachery,2,6,5,"While an opponent's Security personnel is at this mission, that opponent must discard a card from hand to use that Security."
Selok Deep Cover Operative,Y,2,Romulan,[Stf],,Romulan,Anthropology Intelligence Security Treachery,4,6,5,"While this personnel is at a [Fed] mission, she is an Infiltrator. While this personnel is at your [Fed] mission, you may attempt it."
Setek,N,2,Romulan,,,Romulan,Anthropology Exobiology Medical Physics,5,5,6,"When this personnel is about to be stopped by a dilemma, you may discard an event from hand to prevent that."
Tamarith Reformist,Y,2,Romulan,,Dissident.,Romulan,Anthropology Biology Honor Medical,6,5,4,"When you complete a [Fed] mission, if this personnel used any of her skills, score 5 points."
Taul,N,2,Romulan,[Stf],,Romulan,Biology Geology Navigation Security,5,5,6,"When this personnel is about to be stopped by a dilemma, you may discard an event from hand to prevent that."
Jorem,N,2,Bajoran,[DS9],,Bajoran,Exobiology Geology Honor Security,6,5,6,"When you play this personnel, for each Assault event you command, he is cost -1."
Kira Nerys Reformed Collaborator,Y,1,Bajoran,[Cmd][TN],Dissident.,Bajoran,Officer Security Treachery,4,6,6,"When you play this personnel, discard a card from hand. While a Cardassian or Vedek is in your discard pile, this personnel is attributes +1, loses Treachery, and gains Honor and Physics."
Odo Wayward Link,Y,2,Bajoran,[Cmd][TN],Dissident. Shape-shifter.,Changeling,Law Leadership Programming Security,5,7,8,"When you play this personnel, discard a card from hand. When your Bajoran present is about to be killed by a dilemma, you may stop him or her and this personnel to prevent that."
